Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B
Trace Type,View,View
Trace Detector,Average,Average
Trace Data
1.155000e+09,-7.506836e+01,-7.470215e+01
1.155667e+09,-7.475586e+01,-7.435547e+01
1.156333e+09,-7.452637e+01,-7.400391e+01
1.157000e+09,-7.439453e+01,-7.371582e+01
1.157667e+09,-7.431152e+01,-7.404297e+01
1.158333e+09,-7.413086e+01,-7.376465e+01
1.159000e+09,-7.407227e+01,-7.377441e+01
1.159667e+09,-7.414551e+01,-7.376953e+01
1.160333e+09,-7.432129e+01,-7.404297e+01
1.161000e+09,-7.426758e+01,-7.401367e+01
1.161667e+09,-7.418457e+01,-7.399902e+01
1.162333e+09,-7.422363e+01,-7.398926e+01
1.163000e+09,-7.409668e+01,-7.392090e+01
1.163667e+09,-7.392578e+01,-7.367676e+01
1.164333e+09,-7.376465e+01,-7.356445e+01
1.165000e+09,-7.356934e+01,-7.336426e+01
1.165667e+09,-7.347168e+01,-7.330078e+01
1.166333e+09,-7.323730e+01,-7.303223e+01
1.167000e+09,-7.315918e+01,-7.307129e+01
1.167667e+09,-7.321289e+01,-7.303711e+01
1.168333e+09,-7.304199e+01,-7.307617e+01
1.169000e+09,-7.309082e+01,-7.302734e+01
1.169667e+09,-7.341797e+01,-7.303223e+01
1.170333e+09,-7.329102e+01,-7.317383e+01
1.171000e+09,-7.327637e+01,-7.328125e+01
1.171667e+09,-7.324219e+01,-7.313477e+01
1.172333e+09,-7.312988e+01,-7.309082e+01
1.173000e+09,-7.301758e+01,-7.316895e+01
1.173667e+09,-7.303223e+01,-7.302734e+01
1.174333e+09,-7.296875e+01,-7.299805e+01
1.175000e+09,-7.311523e+01,-7.286621e+01
1.175667e+09,-7.263672e+01,-7.273438e+01
1.176333e+09,-7.289551e+01,-7.273926e+01
1.177000e+09,-7.245605e+01,-7.259766e+01
1.177667e+09,-7.267090e+01,-7.264648e+01
1.178333e+09,-7.253418e+01,-7.261719e+01
