"frb_name","utc","telescope","rop_bandwidth","rop_centre_frequency","rmp_dm","rmp_width","rmp_snr"
"FRB190523","2019/05/23 06:05:55.815","DSA-10","152.6","1411","760.8&plusmn0.6","0.42","11.5"
"FRB181228","2018/12/28 13:48:50.100","UTMOST","31.25","835","354.2&plusmn0.9","1.24","12"
"FRB181017","2018/10/17 10:24:37.400","UTMOST","31.25","835","239.97&plusmn0.03","0.32","66"
"FRB181016","2018/10/16 04:16:56.300","UTMOST","31.25","835","1982.8&plusmn2.8","8.6","17"
"FRB180924","2018/09/24 16:23:12.626","ASKAP","336","1320","361.42&plusmn0.06","1.3","194"
"FRB180817.J1533+42","2018/08/17 01:49:20.202","CHIME/FRB","400","600","1006.84&plusmn0.002","0.37","69.9"
"FRB180814.J1554+74","2018/08/14 14:20:14.440","CHIME/FRB","400","600","238.32&plusmn0.01","0.18","29.7"
"FRB180814.J0422+73","2018/08/14 14:49:48.022","CHIME/FRB","400","600","189.38&plusmn0.09","2.6","24"
"FRB180812.J0112+80","2018/08/12 11:45:32.872","CHIME/FRB","400","600","802.57&plusmn0.04","1.25","19.8"
"FRB180810.J1159+83","2018/08/10 22:40:42.493","CHIME/FRB","400","600","169.134&plusmn0.002","0.28","56.7"
"FRB180810.J0646+34","2018/08/10 17:28:54.614","CHIME/FRB","400","600","414.95&plusmn0.02","0.27","17.7"
"FRB180806.J1515+75","2018/08/06 14:13:03.107","CHIME/FRB","400","600","739.98&plusmn0.03","0.69","17.5"
"FRB180801.J2130+72","2018/08/01 08:47:14.793","CHIME/FRB","400","600","656.2&plusmn0.03","0.51","41.1"
"FRB180730.J0353+87","2018/07/30 03:37:25.937","CHIME/FRB","400","600","849.047&plusmn0.002","0.42","92.4"
"FRB180729.J1316+55","2018/07/29 00:48:19.238","CHIME/FRB","400","600","109.61&plusmn0.002","0.12","243.1"
"FRB180729.J0558+56","2018/07/29 17:28:18.258","CHIME/FRB","400","600","317.37&plusmn0.01","0.08","25.2"
"FRB180727.J1311+26","2018/07/27 00:52:04.474","CHIME/FRB","400","600","642.07&plusmn0.03","0.78","14.2"
"FRB180725.J0613+67","2018/07/25 17:59:32.813","CHIME/FRB","400","600","715.98&plusmn0.02","0.31","34.5"
"FRB180714","2018/07/14 10:00:08.700","parkes","338.381","1352","1467.92&plusmn0.3","0","22"
"FRB180528","2018/05/28 04:24:00.900","UTMOST","31.25","835","899.3&plusmn0.6","2","11"
"FRB180525","2018/05/25 15:19:06.515","ASKAP","336","1297","388.1&plusmn0.3","3.8","27.4"
"FRB180515","2018/05/15 21:57:26.485","ASKAP","336","1320","355.2&plusmn0.5","1.9","12.1"
"FRB180430","2018/04/30 10:00:35.700","ASKAP","336","1297","264.1&plusmn0.5","1.2","28.2"
"FRB180324","2018/03/24 09:31:46.706","ASKAP","336","1297","431&plusmn0.4","4.3","9.8"
"FRB180315","2018/03/15 05:05:30.985","ASKAP","336","1297","479&plusmn0.4","2.4","10.4"
"FRB180311","2018/03/11 04:11:54.800","parkes","338.381","1352","1570.9&plusmn0.5","13.4","11.5"
"FRB180309","2018/03/09 02:49:32.990","parkes","338.381","1352","263.42&plusmn0.01","0.475","411"
"FRB180212","2018/02/12 23:45:04.399","ASKAP","336","1297","167.5&plusmn0.5","1.81","18.3"
"FRB180131","2018/01/31 05:45:04.320","ASKAP","336","1297","657.7&plusmn0.5","4.5","13.8"
