Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B
Trace Type,View,View
Trace Detector,Average,Average
Trace Data
1.155000e+09,-7.506348e+01,-7.471191e+01
1.155667e+09,-7.479004e+01,-7.466797e+01
1.156333e+09,-7.426270e+01,-7.414062e+01
1.157000e+09,-7.418945e+01,-7.402832e+01
1.157667e+09,-7.407227e+01,-7.355957e+01
1.158333e+09,-7.410156e+01,-7.388184e+01
1.159000e+09,-7.402344e+01,-7.376465e+01
1.159667e+09,-7.422363e+01,-7.406250e+01
1.160333e+09,-7.423828e+01,-7.400879e+01
1.161000e+09,-7.427246e+01,-7.386230e+01
1.161667e+09,-7.430664e+01,-7.393555e+01
1.162333e+09,-7.419434e+01,-7.397461e+01
1.163000e+09,-7.405762e+01,-7.377441e+01
1.163667e+09,-7.380371e+01,-7.363770e+01
1.164333e+09,-7.381836e+01,-7.359375e+01
1.165000e+09,-7.338867e+01,-7.355957e+01
1.165667e+09,-7.344238e+01,-7.315430e+01
1.166333e+09,-7.311523e+01,-7.315918e+01
1.167000e+09,-7.302734e+01,-7.265137e+01
1.167667e+09,-7.307617e+01,-7.289062e+01
1.168333e+09,-7.331543e+01,-7.297363e+01
1.169000e+09,-7.333496e+01,-7.300293e+01
1.169667e+09,-7.322266e+01,-7.309082e+01
1.170333e+09,-7.332031e+01,-7.309570e+01
1.171000e+09,-7.340820e+01,-7.302246e+01
1.171667e+09,-7.315430e+01,-7.320801e+01
1.172333e+09,-7.336914e+01,-7.314453e+01
1.173000e+09,-7.313477e+01,-7.280762e+01
1.173667e+09,-7.295410e+01,-7.298828e+01
1.174333e+09,-7.317871e+01,-7.287598e+01
1.175000e+09,-7.289062e+01,-7.277832e+01
1.175667e+09,-7.289551e+01,-7.269043e+01
1.176333e+09,-7.275879e+01,-7.239746e+01
1.177000e+09,-7.301758e+01,-7.230469e+01
1.177667e+09,-7.284668e+01,-7.250488e+01
1.178333e+09,-7.276367e+01,-7.237793e+01
