Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.048000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,1,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,View,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.155000e+09,-9.166840e+01,-9.195774e+01,-9.162429e+01,-9.114711e+01
1.155667e+09,-9.213747e+01,-9.145370e+01,-9.156448e+01,-9.116977e+01
1.156333e+09,-9.189572e+01,-9.153324e+01,-9.152365e+01,-9.076640e+01
1.157000e+09,-9.167147e+01,-9.108508e+01,-9.111230e+01,-9.065234e+01
1.157667e+09,-9.142821e+01,-9.144594e+01,-9.134803e+01,-9.067184e+01
1.158333e+09,-9.133496e+01,-9.132620e+01,-9.117770e+01,-9.082174e+01
1.159000e+09,-9.108001e+01,-9.108871e+01,-9.083736e+01,-9.036390e+01
1.159667e+09,-9.095332e+01,-9.062303e+01,-9.073348e+01,-9.005441e+01
1.160333e+09,-9.072761e+01,-9.069235e+01,-9.035532e+01,-8.960476e+01
1.161000e+09,-9.044190e+01,-9.050140e+01,-9.030370e+01,-8.971605e+01
1.161667e+09,-9.036741e+01,-9.005729e+01,-8.994923e+01,-8.945784e+01
1.162333e+09,-8.996512e+01,-9.011417e+01,-8.985578e+01,-8.913592e+01
1.163000e+09,-9.006763e+01,-9.009390e+01,-8.953865e+01,-8.888591e+01
1.163667e+09,-9.033792e+01,-8.991887e+01,-8.935548e+01,-8.905486e+01
1.164333e+09,-8.976932e+01,-8.984791e+01,-8.941887e+01,-8.891738e+01
